Corrected Customer Question,Corrected Frappe Query
Fetch the complete List of Timesheet entries.,"frappe.get_all(""Timesheet"")"
"Provide Employee records that have the status marked as Active, accompanied by journal_entry_type and stock_uom.","frappe.get_all(""Employee"", filters={""status"": ""Active""}, fields=[""journal_entry_type"", ""stock_uom""])"
I'd like to see information on Project records whose supplier_name being value_331.,"frappe.get_all(""Project"", filters={""supplier_name"": ""value_331""})"
"Uncover records of Purchase Order records with status marked as Approved, total marked as greater than 20000, and supplier marked as ABC Pvt Ltd, accompanied by name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Approved"", ""total"": ["">"", 20000], ""supplier"": ""ABC Pvt Ltd""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Find and Display Driver records in which status marked as Paid and project_name marked as greater than 5000, accompanied by invoice_date, employee_name, and project_name, ordered by creation in descending order.","frappe.get_all(""Driver"", filters={""status"": ""Paid"", ""project_name"": ["">"", 5000]}, fields=[""invoice_date"", ""employee_name"", ""project_name""], order_by=""creation desc"")"
"Get me Asset records whose status marked as Paid and employee_name marked as greater than 5000, with details of payment_status, name, and employee_name, ordered by creation in descending order.","frappe.get_all(""Asset"", filters={""status"": ""Paid"", ""employee_name"": ["">"", 5000]}, fields=[""payment_status"", ""name"", ""employee_name""], order_by=""creation desc"")"
Can you fetch a full List of Leave Application records?,"frappe.get_all(""Leave Application"")"
"Help me find Quality Inspection records whose status marked as Active, along with payment_status and inspection_result.","frappe.get_all(""Quality Inspection"", filters={""status"": ""Active""}, fields=[""payment_status"", ""inspection_result""])"
"List Driver records whose status marked as Paid and currency marked as greater than 5000, with details of customer_name, employee_name, and currency, ordered by creation in descending order.","frappe.get_all(""Driver"", filters={""status"": ""Paid"", ""currency"": ["">"", 5000]}, fields=[""customer_name"", ""employee_name"", ""currency""], order_by=""creation desc"")"
"Help me find Employee records that have the status marked as Paid and vehicle_type marked as greater than 5000, with details of invoice_date, journal_entry_type, and vehicle_type, ordered by creation in descending order.","frappe.get_all(""Employee"", filters={""status"": ""Paid"", ""vehicle_type"": ["">"", 5000]}, fields=[""invoice_date"", ""journal_entry_type"", ""vehicle_type""], order_by=""creation desc"")"
"Find and dhavingplay Role records whose status having Paid and currency having greater than 5000, accompanied by company, project_name, and currency, ordered by creation in descending order.","frappe.get_all(""Role"", filters={""status"": ""Paid"", ""currency"": ["">"", 5000]}, fields=[""company"", ""project_name"", ""currency""], order_by=""creation desc"")"
Fetch Delivery Note records which include payment_status marked as value_410.,"frappe.get_all(""Delivery Note"", filters={""payment_status"": ""value_410""})"
"Pull up details for Employee records that have status marked as Approved, total marked as greater than 5000, and supplier marked as XYZ Corp, including name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Employee"", filters={""status"": ""Approved"", ""total"": ["">"", 5000], ""supplier"": ""XYZ Corp""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Show me relevant data on Customer records that have the status marked as Paid and task_status marked as greater than 5000, accompanied by currency, pricing_rule_type, and task_status, ordered by creation in descending order.","frappe.get_all(""Customer"", filters={""status"": ""Paid"", ""task_status"": ["">"", 5000]}, fields=[""currency"", ""pricing_rule_type"", ""task_status""], order_by=""creation desc"")"
Display all Contract documents currently stored.,"frappe.get_all(""Contract"")"
Display the entire collection of Role entries.,"frappe.get_all(""Role"")"
Bring up the details of Purchase Order records that have the employee_name marked as value_550.,"frappe.get_all(""Purchase Order"", filters={""employee_name"": ""value_550""})"
"Show details of Leave Application records with status marked as Completed, capacity marked as greater than 5000, and location marked as San Francmarked asco, accompanied by name, capacity, and location, ordered by capacity in descending order, with a page length of 20.","frappe.get_all(""Leave Application"", filters={""status"": ""Completed"", ""capacity"": ["">"", 5000], ""location"": ""San Francisco""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
Fetch and dbeingplay all stored Supplier entries.,"frappe.get_all(""Supplier"")"
Look up records related to Item records stored in the database.,"frappe.get_all(""Item"")"
Help me access all stored Project records from the database.,"frappe.get_all(""Project"")"
"Fetch Sales Invoice records with status marked as Paid, capacity marked as greater than 5000, and location marked as San Francmarked asco, including name, capacity, and location, ordered by capacity in descending order, with a page length of 20.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Paid"", ""capacity"": ["">"", 5000], ""location"": ""San Francisco""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
Provide a comprehensive lbeingt of all Pricing Rule entries.,"frappe.get_all(""Pricing Rule"")"
"Can you show me Quality Inspection records which include status marked as Paid and quantity marked as greater than 5000, including pricing_rule_type, payment_status, and quantity, ordered by creation in descending order.","frappe.get_all(""Quality Inspection"", filters={""status"": ""Paid"", ""quantity"": ["">"", 5000]}, fields=[""pricing_rule_type"", ""payment_status"", ""quantity""], order_by=""creation desc"")"
Display all saved Lead records.,"frappe.get_all(""Lead"")"
"List Warehouse records whose status marked as Paid and customer_name marked as greater than 5000, including amount, quantity, and customer_name, ordered by creation in descending order.","frappe.get_all(""Warehouse"", filters={""status"": ""Paid"", ""customer_name"": ["">"", 5000]}, fields=[""amount"", ""quantity"", ""customer_name""], order_by=""creation desc"")"
"Dwith statusplay Purchase Order records with status with status Active, total with status greater than 7500, and supplier with status Global Supplies, accompanied by name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Active"", ""total"": ["">"", 7500], ""supplier"": ""Global Supplies""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
Give me all Project details available.,"frappe.get_all(""Project"")"
Fetch the full collection of User records.,"frappe.get_all(""User"")"
I'd like to see information on all stored Customer records from the database.,"frappe.get_all(""Customer"")"
Show me relevant data on all Vehicle entries.,"frappe.get_all(""Vehicle"")"
"Bring up Attendance records which include status having Active, containing vehicle_type and inspection_result.","frappe.get_all(""Attendance"", filters={""status"": ""Active""}, fields=[""vehicle_type"", ""inspection_result""])"
"Display Purchase Order records whose department marked as Sales, status marked as Paid, from_date marked as on or after 2023-06-01, and to_date marked as on or before 2023-12-31, along with employee_name, leave_type, and status, ordered by from_date in ascending order.","frappe.get_all(""Purchase Order"", filters={""department"": ""Sales"", ""status"": ""Paid"", ""from_date"": ["">="", ""2023-06-01""], ""to_date"": [""<="", ""2023-12-31""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
Get me information on every Opportunity record currently available.,"frappe.get_all(""Opportunity"")"
"Help me find Sales Invoice records which include status being Active and grand_total being greater than 20000, including name, customer, and grand_total, ordered by creation in descending order.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Active"", ""grand_total"": ["">"", 20000]}, fields=[""name"", ""customer"", ""grand_total""], order_by=""creation desc"")"
Display the entire collection of Supplier entries.,"frappe.get_all(""Supplier"")"
Fetch Journal Entry records in which inspection_result marked as value_417.,"frappe.get_all(""Journal Entry"", filters={""inspection_result"": ""value_417""})"
Bring up the details of existing Leave Application records.,"frappe.get_all(""Leave Application"")"
List out all available Warehouse records.,"frappe.get_all(""Warehouse"")"
"Display Leave Application records that have the status being Active and grand_total being greater than 5000, along with name, customer, and grand_total, ordered by creation in descending order.","frappe.get_all(""Leave Application"", filters={""status"": ""Active"", ""grand_total"": ["">"", 5000]}, fields=[""name"", ""customer"", ""grand_total""], order_by=""creation desc"")"
Can you provide a detailed List of all Customer documents?,"frappe.get_all(""Customer"")"
"Provide Project records that have the status marked as Active, with details of payment_status and leave_type.","frappe.get_all(""Project"", filters={""status"": ""Active""}, fields=[""payment_status"", ""leave_type""])"
"Find and Display Asset records whose status marked as Active, along with customer_name and journal_entry_type.","frappe.get_all(""Asset"", filters={""status"": ""Active""}, fields=[""customer_name"", ""journal_entry_type""])"
"Find Payment Entry records that have status having Paid and company having greater than 5000, containing task_status, leave_type, and company, ordered by creation in descending order.","frappe.get_all(""Payment Entry"", filters={""status"": ""Paid"", ""company"": ["">"", 5000]}, fields=[""task_status"", ""leave_type"", ""company""], order_by=""creation desc"")"
"Provide Sales Invoice records that have the status marked as Active, accompanied by journal_entry_type and leave_type.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Active""}, fields=[""journal_entry_type"", ""leave_type""])"
"Look up Warehouse records that have the status marked as Completed, department marked as HR, and date_of_joining marked as after 2023-01-01, including name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Warehouse"", filters={""status"": ""Completed"", ""department"": ""HR"", ""date_of_joining"": ["">"", ""2023-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
"Provide Expense Claim records whose status having Paid and vehicle_type having greater than 5000, accompanied by task_status, quantity, and vehicle_type, ordered by creation in descending order.","frappe.get_all(""Expense Claim"", filters={""status"": ""Paid"", ""vehicle_type"": ["">"", 5000]}, fields=[""task_status"", ""quantity"", ""vehicle_type""], order_by=""creation desc"")"
"Look up Warehouse records that have status marked as Active, capacity marked as greater than 10000, and location marked as San Francmarked asco, including name, capacity, and location, ordered by capacity in descending order, with a page length of 20.","frappe.get_all(""Warehouse"", filters={""status"": ""Active"", ""capacity"": ["">"", 10000], ""location"": ""San Francisco""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
List every Lead document currently available.,"frappe.get_all(""Lead"")"
Locate and display all Contract documents.,"frappe.get_all(""Contract"")"
"Show details of Purchase Order records with department with status Finance, status with status Active, from_date with status on or after 2023-01-01, and to_date with status on or before 2024-06-30, with details of employee_name, leave_type, and status, ordered by from_date in ascending order.","frappe.get_all(""Purchase Order"", filters={""department"": ""Finance"", ""status"": ""Active"", ""from_date"": ["">="", ""2023-01-01""], ""to_date"": [""<="", ""2024-06-30""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
"Look up Employee records that have status marked as Approved and grand_total marked as greater than 7500, accompanied by name, customer, and grand_total, ordered by creation in descending order.","frappe.get_all(""Employee"", filters={""status"": ""Approved"", ""grand_total"": ["">"", 7500]}, fields=[""name"", ""customer"", ""grand_total""], order_by=""creation desc"")"
Fetch every available Quotation entry.,"frappe.get_all(""Quotation"")"
"Can you show me Sales Invoice records with status marked as Paid and project_name marked as greater than 5000, including journal_entry_type, inspection_result, and project_name, ordered by creation in descending order.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Paid"", ""project_name"": ["">"", 5000]}, fields=[""journal_entry_type"", ""inspection_result"", ""project_name""], order_by=""creation desc"")"
"Find and Display Role records in which status marked as Active, including journal_entry_type and company.","frappe.get_all(""Role"", filters={""status"": ""Active""}, fields=[""journal_entry_type"", ""company""])"
"I need to see Purchase Order records whose status marked as Paid, total marked as greater than 7500, and supplier marked as ABC Pvt Ltd, accompanied by name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Paid"", ""total"": ["">"", 7500], ""supplier"": ""ABC Pvt Ltd""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
I need to see Quality Inspection records whose expense_amount marked as value_185.,"frappe.get_all(""Quality Inspection"", filters={""expense_amount"": ""value_185""})"
"Pull up Sales Invoice records which include status being Paid and status being greater than 5000, containing stock_uom, order_date, and status, ordered by creation in descending order.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Paid"", ""status"": ["">"", 5000]}, fields=[""stock_uom"", ""order_date"", ""status""], order_by=""creation desc"")"
"Show details of Loan records that have status marked as Active, along with project_name and amount.","frappe.get_all(""Loan"", filters={""status"": ""Active""}, fields=[""project_name"", ""amount""])"
"Find and Display Attendance records that have status marked as Paid and task_status marked as greater than 5000, with details of project_name, currency, and task_status, ordered by creation in descending order.","frappe.get_all(""Attendance"", filters={""status"": ""Paid"", ""task_status"": ["">"", 5000]}, fields=[""project_name"", ""currency"", ""task_status""], order_by=""creation desc"")"
"Bring up the details of Subscription records that have the status marked as Active, containing amount and employee_name.","frappe.get_all(""Subscription"", filters={""status"": ""Active""}, fields=[""amount"", ""employee_name""])"
"Find and dbeingplay Warehouse records that have the status being Completed, department being Sales, and date_of_joining being after 2023-06-15, with details of name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Warehouse"", filters={""status"": ""Completed"", ""department"": ""Sales"", ""date_of_joining"": ["">"", ""2023-06-15""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
Can I see all Role records stored in the database?,"frappe.get_all(""Role"")"
Retrieve relevant entries from every Project record currently available.,"frappe.get_all(""Project"")"
"Fetch Role records that have the status with status Active, including vehicle_type and inspection_result.","frappe.get_all(""Role"", filters={""status"": ""Active""}, fields=[""vehicle_type"", ""inspection_result""])"
Locate and display a full lbeingt of Driver documents.,"frappe.get_all(""Driver"")"
I need to see Employee records with vehicle_type being value_127.,"frappe.get_all(""Employee"", filters={""vehicle_type"": ""value_127""})"
List every Quality Inspection document currently available.,"frappe.get_all(""Quality Inspection"")"
Pull up details for every available User document from the system.,"frappe.get_all(""User"")"
Provide a detailed set of all Supplier records.,"frappe.get_all(""Supplier"")"
"I need to see Attendance records that have status marked as Paid and leave_type marked as greater than 5000, including status, invoice_date, and leave_type, ordered by creation in descending order.","frappe.get_all(""Attendance"", filters={""status"": ""Paid"", ""leave_type"": ["">"", 5000]}, fields=[""status"", ""invoice_date"", ""leave_type""], order_by=""creation desc"")"
"Give me Payment Entry records which include status being Paid and currency being greater than 5000, including invoice_date, employee_name, and currency, ordered by creation in descending order.","frappe.get_all(""Payment Entry"", filters={""status"": ""Paid"", ""currency"": ["">"", 5000]}, fields=[""invoice_date"", ""employee_name"", ""currency""], order_by=""creation desc"")"
Can you fetch every Contract document?,"frappe.get_all(""Contract"")"
"Get me information on Vehicle records that have status being Paid and customer_name being greater than 5000, containing payment_status, currency, and customer_name, ordered by creation in descending order.","frappe.get_all(""Vehicle"", filters={""status"": ""Paid"", ""customer_name"": ["">"", 5000]}, fields=[""payment_status"", ""currency"", ""customer_name""], order_by=""creation desc"")"
"List Leave Application records which include status marked as Paid, department marked as Sales, and date_of_joining marked as after 2022-01-01, containing name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Leave Application"", filters={""status"": ""Paid"", ""department"": ""Sales"", ""date_of_joining"": ["">"", ""2022-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
"Help me find Purchase Order records with status being Paid, capacity being greater than 10000, and location being Los Angeles, containing name, capacity, and location, ordered by capacity in descending order, with a page length of 20.","frappe.get_all(""Purchase Order"", filters={""status"": ""Paid"", ""capacity"": ["">"", 10000], ""location"": ""Los Angeles""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
Show all stored Quality Inspection data records.,"frappe.get_all(""Quality Inspection"")"
Display the complete lbeingt of Driver records.,"frappe.get_all(""Driver"")"
"Provide Leave Application records which include status with status Active, along with project_name and expense_amount.","frappe.get_all(""Leave Application"", filters={""status"": ""Active""}, fields=[""project_name"", ""expense_amount""])"
Display the entire Customer dataset stored.,"frappe.get_all(""Customer"")"
"Display Driver records in which status marked as Active, accompanied by name and employee_name.","frappe.get_all(""Driver"", filters={""status"": ""Active""}, fields=[""name"", ""employee_name""])"
Provide a full dataset of Lead records.,"frappe.get_all(""Lead"")"
"Summarize information about Contract records whose status with status Active, accompanied by inspection_result and pricing_rule_type.","frappe.get_all(""Contract"", filters={""status"": ""Active""}, fields=[""inspection_result"", ""pricing_rule_type""])"
Show me relevant data on the complete List of Supplier entries.,"frappe.get_all(""Supplier"")"
Help me find Payment Entry records in which leave_type marked as value_142.,"frappe.get_all(""Payment Entry"", filters={""leave_type"": ""value_142""})"
"Get me Opportunity records in which status being Paid and stock_uom being greater than 5000, along with payment_status, leave_type, and stock_uom, ordered by creation in descending order.","frappe.get_all(""Opportunity"", filters={""status"": ""Paid"", ""stock_uom"": ["">"", 5000]}, fields=[""payment_status"", ""leave_type"", ""stock_uom""], order_by=""creation desc"")"
"Bring up Employee records that have department marked as HR, status marked as Paid, from_date marked as on or after 2023-09-01, and to_date marked as on or before 2024-06-30, with details of employee_name, leave_type, and status, ordered by from_date in ascending order.","frappe.get_all(""Employee"", filters={""department"": ""HR"", ""status"": ""Paid"", ""from_date"": ["">="", ""2023-09-01""], ""to_date"": [""<="", ""2024-06-30""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
"I need to see Delivery Note records which include status marked as Paid and journal_entry_type marked as greater than 5000, containing company, name, and journal_entry_type, ordered by creation in descending order.","frappe.get_all(""Delivery Note"", filters={""status"": ""Paid"", ""journal_entry_type"": ["">"", 5000]}, fields=[""company"", ""name"", ""journal_entry_type""], order_by=""creation desc"")"
"Can you show me Driver records which include status with status Active, with details of vehicle_type and customer_name.","frappe.get_all(""Driver"", filters={""status"": ""Active""}, fields=[""vehicle_type"", ""customer_name""])"
Fetch and dhavingplay all stored Quotation entries.,"frappe.get_all(""Quotation"")"
"Find and Display Employee records in which status marked as Active, along with payment_status and employee_name.","frappe.get_all(""Employee"", filters={""status"": ""Active""}, fields=[""payment_status"", ""employee_name""])"
"Uncover records of Leave Application records whose status marked as Completed, total marked as greater than 10000, and supplier marked as Tech Innovations, with details of name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Leave Application"", filters={""status"": ""Completed"", ""total"": ["">"", 10000], ""supplier"": ""Tech Innovations""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Give me Journal Entry records that have the status marked as Active, containing name and company.","frappe.get_all(""Journal Entry"", filters={""status"": ""Active""}, fields=[""name"", ""company""])"
List out all available Payment Entry records.,"frappe.get_all(""Payment Entry"")"
"I need to see Sales Invoice records which include status being Paid and grand_total being greater than 7500, containing name, customer, and grand_total, ordered by creation in descending order.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Paid"", ""grand_total"": ["">"", 7500]}, fields=[""name"", ""customer"", ""grand_total""], order_by=""creation desc"")"
"Uncover records of Supplier records with status marked as Active, along with order_date and currency.","frappe.get_all(""Supplier"", filters={""status"": ""Active""}, fields=[""order_date"", ""currency""])"
"Provide Payment Entry records that have the status marked as Active, accompanied by project_name and order_date.","frappe.get_all(""Payment Entry"", filters={""status"": ""Active""}, fields=[""project_name"", ""order_date""])"
Can you provide a detailed lbeingt of all Vehicle documents?,"frappe.get_all(""Vehicle"")"
List every Warehouse document currently available.,"frappe.get_all(""Warehouse"")"
"Find Sales Invoice records that have status being Completed and grand_total being greater than 5000, with details of name, customer, and grand_total, ordered by creation in descending order.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Completed"", ""grand_total"": ["">"", 5000]}, fields=[""name"", ""customer"", ""grand_total""], order_by=""creation desc"")"
"Find and Display Customer records whose status marked as Active, along with leave_type and invoice_date.","frappe.get_all(""Customer"", filters={""status"": ""Active""}, fields=[""leave_type"", ""invoice_date""])"
"Fetch Sales Invoice records that have the status marked as Paid, total marked as greater than 10000, and supplier marked as Global Supplies, including name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Paid"", ""total"": ["">"", 10000], ""supplier"": ""Global Supplies""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"I need to see Warehouse records whose status marked as Completed, department marked as Sales, and date_of_joining marked as after 2024-01-01, accompanied by name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Warehouse"", filters={""status"": ""Completed"", ""department"": ""Sales"", ""date_of_joining"": ["">"", ""2024-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
"List Stock Entry records whose status having Paid and stock_uom having greater than 5000, accompanied by currency, customer_name, and stock_uom, ordered by creation in descending order.","frappe.get_all(""Stock Entry"", filters={""status"": ""Paid"", ""stock_uom"": ["">"", 5000]}, fields=[""currency"", ""customer_name"", ""stock_uom""], order_by=""creation desc"")"
Bring up the details of all Attendance data stored in the database.,"frappe.get_all(""Attendance"")"
"Fetch records for relevant entries from Pricing Rule records that have status marked as Paid and employee_name marked as greater than 5000, accompanied by supplier_name, quantity, and employee_name, ordered by creation in descending order.","frappe.get_all(""Pricing Rule"", filters={""status"": ""Paid"", ""employee_name"": ["">"", 5000]}, fields=[""supplier_name"", ""quantity"", ""employee_name""], order_by=""creation desc"")"
"Look up Warehouse records with status marked as Active, total marked as greater than 7500, and supplier marked as Tech Innovations, containing name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Warehouse"", filters={""status"": ""Active"", ""total"": ["">"", 7500], ""supplier"": ""Tech Innovations""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
Show all stored Journal Entry documents.,"frappe.get_all(""Journal Entry"")"
Display the complete lbeingt of Asset records.,"frappe.get_all(""Asset"")"
Look up User records that have the inspection_result being value_510.,"frappe.get_all(""User"", filters={""inspection_result"": ""value_510""})"
Provide a detailed set of all Loan records.,"frappe.get_all(""Loan"")"
"Bring up Timesheet records which include status marked as Active, including expense_amount and payment_status.","frappe.get_all(""Timesheet"", filters={""status"": ""Active""}, fields=[""expense_amount"", ""payment_status""])"
Show all stored Attendance data records.,"frappe.get_all(""Attendance"")"
"Fetch records for Employee records whose status marked as Approved, department marked as HR, and date_of_joining marked as after 2022-01-01, along with name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Employee"", filters={""status"": ""Approved"", ""department"": ""HR"", ""date_of_joining"": ["">"", ""2022-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
"I need to see Expense Claim records with status marked as Active, along with project_name and pricing_rule_type.","frappe.get_all(""Expense Claim"", filters={""status"": ""Active""}, fields=[""project_name"", ""pricing_rule_type""])"
"Find and display Driver records whose status having Paid and leave_type having greater than 5000, accompanied by quantity, stock_uom, and leave_type, ordered by creation in descending order.","frappe.get_all(""Driver"", filters={""status"": ""Paid"", ""leave_type"": ["">"", 5000]}, fields=[""quantity"", ""stock_uom"", ""leave_type""], order_by=""creation desc"")"
Provide all Sales Invoice entries currently available.,"frappe.get_all(""Sales Invoice"")"
Give me an overview of Warehouse records stored in the database.,"frappe.get_all(""Warehouse"")"
Give me an overview of relevant entries from existing Customer records.,"frappe.get_all(""Customer"")"
Give me all Expense Claim details available.,"frappe.get_all(""Expense Claim"")"
"Bring up Opportunity records with status marked as Active, with details of status and amount.","frappe.get_all(""Opportunity"", filters={""status"": ""Active""}, fields=[""status"", ""amount""])"
"Bring up Payment Entry records which include status having Active, along with inspection_result and order_date.","frappe.get_all(""Payment Entry"", filters={""status"": ""Active""}, fields=[""inspection_result"", ""order_date""])"
"Highlight key details from User records that have status having Active, containing company and stock_uom.","frappe.get_all(""User"", filters={""status"": ""Active""}, fields=[""company"", ""stock_uom""])"
Pull up Stock Entry records that have amount marked as value_552.,"frappe.get_all(""Stock Entry"", filters={""amount"": ""value_552""})"
"Look up Delivery Note records that have the status being Paid and supplier_name being greater than 5000, including journal_entry_type, stock_uom, and supplier_name, ordered by creation in descending order.","frappe.get_all(""Delivery Note"", filters={""status"": ""Paid"", ""supplier_name"": ["">"", 5000]}, fields=[""journal_entry_type"", ""stock_uom"", ""supplier_name""], order_by=""creation desc"")"
"Can you show me Sales Invoice records in which status marked as Paid, total marked as greater than 5000, and supplier marked as Tech Innovations, accompanied by name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Paid"", ""total"": ["">"", 5000], ""supplier"": ""Tech Innovations""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
List out all available Employee records.,"frappe.get_all(""Employee"")"
"Fetch Leave Application records that have the status being Completed, total being greater than 20000, and supplier being Global Supplies, containing name, total, and supplier, ordered by total in descending order.","frappe.get_all(""Leave Application"", filters={""status"": ""Completed"", ""total"": ["">"", 20000], ""supplier"": ""Global Supplies""}, fields=[""name"", ""total"", ""supplier""], order_by=""total desc"")"
"Present the stored details of Item records with status marked as Active, with details of expense_amount and invoice_date.","frappe.get_all(""Item"", filters={""status"": ""Active""}, fields=[""expense_amount"", ""invoice_date""])"
Can you provide a List of all Timesheet records?,"frappe.get_all(""Timesheet"")"
Highlight key details from all Vehicle documents.,"frappe.get_all(""Vehicle"")"
"Find Purchase Order records with status having Active, capacity having greater than 10000, and location having Los Angeles, including name, capacity, and location, ordered by capacity in descending order, with a page length of 20.","frappe.get_all(""Purchase Order"", filters={""status"": ""Active"", ""capacity"": ["">"", 10000], ""location"": ""Los Angeles""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
Show all stored Expense Claim records in the database.,"frappe.get_all(""Expense Claim"")"
Show details of Supplier records in which status marked as value_119.,"frappe.get_all(""Supplier"", filters={""status"": ""value_119""})"
Give me the entire Payment Entry record set.,"frappe.get_all(""Payment Entry"")"
"Get me Leave Application records whose status with status Paid, department with status Finance, and date_of_joining with status after 2023-01-01, along with name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Leave Application"", filters={""status"": ""Paid"", ""department"": ""Finance"", ""date_of_joining"": ["">"", ""2023-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
"List Pricing Rule records with status with status Active, including supplier_name and amount.","frappe.get_all(""Pricing Rule"", filters={""status"": ""Active""}, fields=[""supplier_name"", ""amount""])"
"Look up Supplier records that have the status having Active, accompanied by task_status and journal_entry_type.","frappe.get_all(""Supplier"", filters={""status"": ""Active""}, fields=[""task_status"", ""journal_entry_type""])"
"Bring up Sales Invoice records that have status marked as Active, including journal_entry_type and company.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Active""}, fields=[""journal_entry_type"", ""company""])"
Fetch the complete lwith status of Lead entries.,"frappe.get_all(""Lead"")"
"Provide Leave Application records which include department marked as HR, status marked as Paid, from_date marked as on or after 2023-06-01, and to_date marked as on or before 2024-06-30, along with employee_name, leave_type, and status, ordered by from_date in ascending order.","frappe.get_all(""Leave Application"", filters={""department"": ""HR"", ""status"": ""Paid"", ""from_date"": ["">="", ""2023-06-01""], ""to_date"": [""<="", ""2024-06-30""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
List every available Stock Entry document from the database.,"frappe.get_all(""Stock Entry"")"
"List Role records whose status marked as Paid and pricing_rule_type marked as greater than 5000, with details of currency, supplier_name, and pricing_rule_type, ordered by creation in descending order.","frappe.get_all(""Role"", filters={""status"": ""Paid"", ""pricing_rule_type"": ["">"", 5000]}, fields=[""currency"", ""supplier_name"", ""pricing_rule_type""], order_by=""creation desc"")"
"Pull up Subscription records with status marked as Paid and amount marked as greater than 5000, along with payment_status, vehicle_type, and amount, ordered by creation in descending order.","frappe.get_all(""Subscription"", filters={""status"": ""Paid"", ""amount"": ["">"", 5000]}, fields=[""payment_status"", ""vehicle_type"", ""amount""], order_by=""creation desc"")"
"Give me Purchase Order records in which status with status Paid and supplier_name with status greater than 5000, accompanied by status, payment_status, and supplier_name, ordered by creation in descending order.","frappe.get_all(""Purchase Order"", filters={""status"": ""Paid"", ""supplier_name"": ["">"", 5000]}, fields=[""status"", ""payment_status"", ""supplier_name""], order_by=""creation desc"")"
"Get me Employee records whose status being Completed, department being IT, and date_of_joining being after 2022-01-01, containing name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Employee"", filters={""status"": ""Completed"", ""department"": ""IT"", ""date_of_joining"": ["">"", ""2022-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
Display the entire Journal Entry dataset stored.,"frappe.get_all(""Journal Entry"")"
List every Stock Entry document available.,"frappe.get_all(""Stock Entry"")"
"Give me Leave Application records in which status having Approved, department having HR, and date_of_joining having after 2023-01-01, containing name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Leave Application"", filters={""status"": ""Approved"", ""department"": ""HR"", ""date_of_joining"": ["">"", ""2023-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
