Corrected Customer Question,Corrected Frappe Query,Query Complexity
Could you retrieve the applicant from Permit Application?,"frappe.db.get_single_value(""Permit Application"", ""applicant"")",Moderate
Could you retrieve the status from Permit Application?,"frappe.db.get_single_value(""Permit Application"", ""status"")",Simple
Give me the approval_date from Permit Application.,"frappe.db.get_single_value(""Permit Application"", ""approval_date"")",Moderate
Could you retrieve the permit_type from Permit Application?,"frappe.db.get_single_value(""Permit Application"", ""permit_type"")",Moderate
What is the meeting_id for the Meeting?,"frappe.db.get_single_value(""Meeting"", ""meeting_id"")",Moderate
What is the agenda for the Meeting?,"frappe.db.get_single_value(""Meeting"", ""agenda"")",Moderate
Could you retrieve the participants from Meeting?,"frappe.db.get_single_value(""Meeting"", ""participants"")",Moderate
"I need the date for Meeting, can you fetch that?","frappe.db.get_single_value(""Meeting"", ""date"")",Moderate
Could you retrieve the time from Meeting?,"frappe.db.get_single_value(""Meeting"", ""time"")",Moderate
What is the location for the Meeting?,"frappe.db.get_single_value(""Meeting"", ""location"")",Moderate
