Customer Question,Frappe Query
"Hey, need support ticket for subject 'sample_value' this year?","doc = frappe.get_doc(""Support Ticket"", filters={""subject"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need warehouse for is_group 'sample_value' this year?","doc = frappe.get_doc(""Warehouse"", filters={""is_group"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get warehouse where warehouse_name 'test_value' from this year?,"doc = frappe.get_doc(""Warehouse"", filters={""warehouse_name"": ""5000"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the project record where end_date is 'last_unique_value' and created this year?,"doc = frappe.get_doc(""Project"", filters={""end_date"": ""last_High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the sales invoice document where invoice_date is 'test_value'.,"doc = frappe.get_doc(""Sales Invoice"", filters={""invoice_date"": ""Approved""})
print(doc)"
Retrieve the batch document where manufacture_date is 'test_value'.,"doc = frappe.get_doc(""Batch"", filters={""manufacture_date"": ""Electronics""})
print(doc)"
Fetch instructor where experience is 'sample_value'?,"doc = frappe.get_doc(""Instructor"", filters={""experience"": ""sample_value""})
print(doc)"
Can u pull stock entry doc for to_warehouse 'unique_value'?,"doc = frappe.get_doc(""Stock Entry"", filters={""to_warehouse"": ""Retail""})
print(doc)"
batch doc 'DOC-8888'?,"doc = frappe.get_doc(""Batch"", ""DOC-8888"", {""approval_status"": ""Approved"", ""category"": ""Electronics""})
print(doc, {""approval_status"": ""Approved"", ""category"": ""Electronics""})"
Can u pull permit application doc for permit_type 'new_unique_value'?,"doc = frappe.get_doc(""Permit Application"", filters={""permit_type"": ""new_Open""})
print(doc)"
Can u pull tax rule doc for rule_name 'unique_value'?,"doc = frappe.get_doc(""Tax Rule"", filters={""rule_name"": ""Open""})
print(doc)"
job opening doc number_of_positions 'unique_value' this year?,"doc = frappe.get_doc(""Job Opening"", filters={""number_of_positions"": ""12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the patient record where medical_history is 'sample_value' and created this year?,"doc = frappe.get_doc(""Patient"", filters={""medical_history"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the warehouse document where is_group is 'test_value'.,"doc = frappe.get_doc(""Warehouse"", filters={""is_group"": ""Premium""})
print(doc)"
Can u pull purchase invoice doc for due_date 'unique_value'?,"doc = frappe.get_doc(""Purchase Invoice"", filters={""due_date"": ""High""})
print(doc)"
Retrieve the warranty claim document where claim_id is 'sample_value'.,"doc = frappe.get_doc(""Warranty Claim"", filters={""claim_id"": ""sample_value""})
print(doc)"
Fetch expense claim where claim_id is 'test_value'?,"doc = frappe.get_doc(""Expense Claim"", filters={""claim_id"": ""Active""})
print(doc)"
"Hey, need quotation for valid_till 'sample_value' this year?","doc = frappe.get_doc(""Quotation"", filters={""valid_till"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the shipment record where origin is 'unique_value' and created this year?,"doc = frappe.get_doc(""Shipment"", filters={""origin"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get milestone where status 'new_unique_value' from this year?,"doc = frappe.get_doc(""Milestone"", filters={""status"": ""new_High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
work order doc order_id 'new_unique_value' this year?,"doc = frappe.get_doc(""Work Order"", filters={""order_id"": ""new_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
milestone doc project 'unique_value' this year?,"doc = frappe.get_doc(""Milestone"", filters={""project"": ""North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
quotation doc for terms_and_conditions 'new_unique_value'?,"doc = frappe.get_doc(""Quotation"", filters={""terms_and_conditions"": ""new_12345""})
print(doc)"
Fetch payment entry where transaction_date is 'sample_value'?,"doc = frappe.get_doc(""Payment Entry"", filters={""transaction_date"": ""sample_value""})
print(doc)"
Get appointment where patient 'unique_value' from this year?,"doc = frappe.get_doc(""Appointment"", filters={""patient"": ""High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
chart of accounts doc for parent_account 'test_value'?,"doc = frappe.get_doc(""Chart of Accounts"", filters={""parent_account"": ""5000""})
print(doc)"
Retrieve the course document where course_code is 'test_value'.,"doc = frappe.get_doc(""Course"", filters={""course_code"": ""Premium""})
print(doc)"
Fetch job applicant where email is 'test_value'?,"doc = frappe.get_doc(""Job Applicant"", filters={""email"": ""Premium""})
print(doc)"
Retrieve the item document where price is 'sample_value'.,"doc = frappe.get_doc(""Item"", filters={""price"": ""sample_value""})
print(doc)"
"Hey, need task for assigned_to 'sample_value' this year?","doc = frappe.get_doc(""Task"", filters={""assigned_to"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need vital signs for pulse 'test_value' this year?","doc = frappe.get_doc(""Vital Signs"", filters={""pulse"": ""Electronics"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get customer where customer_group 'test_value' from this year?,"doc = frappe.get_doc(""Customer"", filters={""customer_group"": ""5000"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
project doc for project_name 'test_value'?,"doc = frappe.get_doc(""Project"", filters={""project_name"": ""Approved""})
print(doc)"
Get instructor where qualification 'unique_value' from this year?,"doc = frappe.get_doc(""Instructor"", filters={""qualification"": ""Open"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
course doc description 'latest_unique_value' this year?,"doc = frappe.get_doc(""Course"", filters={""description"": ""latest_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the subscription record where plan is 'final_unique_value' and created this year?,"doc = frappe.get_doc(""Subscription"", filters={""plan"": ""final_12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the work order document where quantity is 'test_value'.,"doc = frappe.get_doc(""Work Order"", filters={""quantity"": ""5000""})
print(doc)"
Could you retrieve the project record with ID 'DOC-7777'?,"doc = frappe.get_doc(""Project"", ""DOC-7777"", {""payment_status"": ""Paid"", ""invoice_amount"": ("">"", 5000)})
print(doc, {""payment_status"": ""Paid"", ""invoice_amount"": ("">"", 5000)})"
work order doc 'DOC-7777'?,"doc = frappe.get_doc(""Work Order"", ""DOC-7777"", {""payment_status"": ""Paid"", ""invoice_amount"": ("">"", 5000)})
print(doc, {""payment_status"": ""Paid"", ""invoice_amount"": ("">"", 5000)})"
"Hey, need patient for allergies 'test_value' this year?","doc = frappe.get_doc(""Patient"", filters={""allergies"": ""5000"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
bom doc 'DOC-5678'?,"doc = frappe.get_doc(""BOM"", ""DOC-5678"", {""status"": ""Open"", ""priority"": ""High""})
print(doc, {""status"": ""Open"", ""priority"": ""High""})"
Get timesheet where project 'test_value' from this year?,"doc = frappe.get_doc(""Timesheet"", filters={""project"": ""Premium"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
support ticket doc status 'sample_value' this year?,"doc = frappe.get_doc(""Support Ticket"", filters={""status"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get software license doc 'DOC-5678'?,"doc = frappe.get_doc(""Software License"", ""DOC-5678"", {""approval_status"": ""Approved"", ""category"": ""Electronics""})
print(doc, {""approval_status"": ""Approved"", ""category"": ""Electronics""})"
payroll entry doc posting_date 'test_value' this year?,"doc = frappe.get_doc(""Payroll Entry"", filters={""posting_date"": ""Premium"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the permit application record where approval_date is 'unique_value' and created this year?,"doc = frappe.get_doc(""Permit Application"", filters={""approval_date"": ""North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need appointment for patient 'unique_value' this year?","doc = frappe.get_doc(""Appointment"", filters={""patient"": ""High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need lab test for status 'sample_value' this year?","doc = frappe.get_doc(""Lab Test"", filters={""status"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull leave application doc for employee 'sample_value'?,"doc = frappe.get_doc(""Leave Application"", filters={""employee"": ""sample_value""})
print(doc)"
Fetch item where item_name is 'latest_unique_value'?,"doc = frappe.get_doc(""Item"", filters={""item_name"": ""latest_Open""})
print(doc)"
Get batch where item_code 'new_unique_value' from this year?,"doc = frappe.get_doc(""Batch"", filters={""item_code"": ""new_North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get shipment where status 'test_value' from this year?,"doc = frappe.get_doc(""Shipment"", filters={""status"": ""Active"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
customer doc for customer_name 'new_unique_value'?,"doc = frappe.get_doc(""Customer"", filters={""customer_name"": ""new_North""})
print(doc)"
Can you fetch the shipment record where origin is 'test_value' and created this year?,"doc = frappe.get_doc(""Shipment"", filters={""origin"": ""5000"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need support ticket for customer 'unique_value' this year?","doc = frappe.get_doc(""Support Ticket"", filters={""customer"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
audit report doc for audit_type 'test_value'?,"doc = frappe.get_doc(""Audit Report"", filters={""audit_type"": ""Electronics""})
print(doc)"
Retrieve the meeting document where time is 'sample_value'.,"doc = frappe.get_doc(""Meeting"", filters={""time"": ""sample_value""})
print(doc)"
Get job card where completed_qty 'latest_unique_value' from this year?,"doc = frappe.get_doc(""Job Card"", filters={""completed_qty"": ""latest_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
payroll entry doc for payroll_entry_name 'new_unique_value'?,"doc = frappe.get_doc(""Payroll Entry"", filters={""payroll_entry_name"": ""new_12345""})
print(doc)"
vital signs doc respiration_rate 'test_value' this year?,"doc = frappe.get_doc(""Vital Signs"", filters={""respiration_rate"": ""Active"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the service level agreement record where customer is 'sample_value' and created this year?,"doc = frappe.get_doc(""Service Level Agreement"", filters={""customer"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
chart of accounts doc for account_name 'sample_value'?,"doc = frappe.get_doc(""Chart of Accounts"", filters={""account_name"": ""sample_value""})
print(doc)"
Can u pull event doc for date 'new_unique_value'?,"doc = frappe.get_doc(""Event"", filters={""date"": ""new_Retail""})
print(doc)"
Can u pull bom doc for total_cost 'test_value'?,"doc = frappe.get_doc(""BOM"", filters={""total_cost"": ""Approved""})
print(doc)"
Get vital signs where respiration_rate 'test_value' from this year?,"doc = frappe.get_doc(""Vital Signs"", filters={""respiration_rate"": ""Approved"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
course doc for credits 'sample_value'?,"doc = frappe.get_doc(""Course"", filters={""credits"": ""sample_value""})
print(doc)"
"Hey, need job card for workstation 'test_value' this year?","doc = frappe.get_doc(""Job Card"", filters={""workstation"": ""5000"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the serial no document where purchase_date is 'test_value'.,"doc = frappe.get_doc(""Serial No"", filters={""purchase_date"": ""Electronics""})
print(doc)"
Get sales order where customer 'new_unique_value' from this year?,"doc = frappe.get_doc(""Sales Order"", filters={""customer"": ""new_North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get job applicant where phone 'latest_unique_value' from this year?,"doc = frappe.get_doc(""Job Applicant"", filters={""phone"": ""latest_North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull work order doc for quantity 'test_value'?,"doc = frappe.get_doc(""Work Order"", filters={""quantity"": ""Electronics""})
print(doc)"
Can you fetch the task record where project is 'test_value' and created this year?,"doc = frappe.get_doc(""Task"", filters={""project"": ""Electronics"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
e-commerce order doc 'DOC-7777'?,"doc = frappe.get_doc(""E-commerce Order"", ""DOC-7777"", {""approval_status"": ""Approved"", ""category"": ""Electronics""})
print(doc, {""approval_status"": ""Approved"", ""category"": ""Electronics""})"
"Hey, need job opening for department 'test_value' this year?","doc = frappe.get_doc(""Job Opening"", filters={""department"": ""Active"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get opportunity doc 'DOC-9999'?,"doc = frappe.get_doc(""Opportunity"", ""DOC-9999"", {""customer_group"": ""Retail"", ""territory"": ""North""})
print(doc, {""customer_group"": ""Retail"", ""territory"": ""North""})"
"Hey, need project for customer 'test_value' this year?","doc = frappe.get_doc(""Project"", filters={""customer"": ""Approved"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need payment entry for party 'new_unique_value' this year?","doc = frappe.get_doc(""Payment Entry"", filters={""party"": ""new_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull sales invoice doc for invoice_date 'sample_value'?,"doc = frappe.get_doc(""Sales Invoice"", filters={""invoice_date"": ""sample_value""})
print(doc)"
Can you fetch the hotel reservation record where booking_reference is 'unique_value' and created this year?,"doc = frappe.get_doc(""Hotel Reservation"", filters={""booking_reference"": ""12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull campaign doc for budget 'new_unique_value'?,"doc = frappe.get_doc(""Campaign"", filters={""budget"": ""new_High""})
print(doc)"
Fetch bom where rate is 'test_value'?,"doc = frappe.get_doc(""BOM"", filters={""rate"": ""Premium""})
print(doc)"
"Hey, need hotel reservation for booking_reference 'sample_value' this year?","doc = frappe.get_doc(""Hotel Reservation"", filters={""booking_reference"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
prescription doc duration 'unique_value' this year?,"doc = frappe.get_doc(""Prescription"", filters={""duration"": ""North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get subscription where status 'new_unique_value' from this year?,"doc = frappe.get_doc(""Subscription"", filters={""status"": ""new_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get contact doc 'DOC-9999'?,"doc = frappe.get_doc(""Contact"", ""DOC-9999"", {""membership_type"": ""Premium"", ""subscription_status"": ""Active""})
print(doc, {""membership_type"": ""Premium"", ""subscription_status"": ""Active""})"
Retrieve the serial no document where item_code is 'sample_value'.,"doc = frappe.get_doc(""Serial No"", filters={""item_code"": ""sample_value""})
print(doc)"
purchase invoice doc status 'test_value' this year?,"doc = frappe.get_doc(""Purchase Invoice"", filters={""status"": ""Approved"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get student where batch 'latest_unique_value' from this year?,"doc = frappe.get_doc(""Student"", filters={""batch"": ""latest_High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull prescription doc for medicines 'new_unique_value'?,"doc = frappe.get_doc(""Prescription"", filters={""medicines"": ""new_12345""})
print(doc)"
Retrieve the service level agreement document where response_time is 'sample_value'.,"doc = frappe.get_doc(""Service Level Agreement"", filters={""response_time"": ""sample_value""})
print(doc)"
Fetch service level agreement where agreement_name is 'unique_value'?,"doc = frappe.get_doc(""Service Level Agreement"", filters={""agreement_name"": ""High""})
print(doc)"
Fetch employee where designation is 'test_value'?,"doc = frappe.get_doc(""Employee"", filters={""designation"": ""Electronics""})
print(doc)"
Retrieve the instructor document where instructor_name is 'unique_value'.,"doc = frappe.get_doc(""Instructor"", filters={""instructor_name"": ""12345""})
print(doc)"
Can u pull journal entry doc for posting_date 'test_value'?,"doc = frappe.get_doc(""Journal Entry"", filters={""posting_date"": ""Active""})
print(doc)"
"Hey, need job applicant for position_applied 'unique_value' this year?","doc = frappe.get_doc(""Job Applicant"", filters={""position_applied"": ""High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
fleet management doc year 'test_value' this year?,"doc = frappe.get_doc(""Fleet Management"", filters={""year"": ""Premium"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch warranty claim where warranty_expiry is 'unique_value'?,"doc = frappe.get_doc(""Warranty Claim"", filters={""warranty_expiry"": ""High""})
print(doc)"
Get quotation where items 'final_unique_value' from this year?,"doc = frappe.get_doc(""Quotation"", filters={""items"": ""final_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Could you retrieve the task record with ID 'DOC-7777'?,"doc = frappe.get_doc(""Task"", ""DOC-7777"", {""approval_status"": ""Approved"", ""category"": ""Electronics""})
print(doc, {""approval_status"": ""Approved"", ""category"": ""Electronics""})"
Get event doc 'DOC-9999'?,"doc = frappe.get_doc(""Event"", ""DOC-9999"", {""approval_status"": ""Approved"", ""category"": ""Electronics""})
print(doc, {""approval_status"": ""Approved"", ""category"": ""Electronics""})"
Retrieve the item document where item_code is 'latest_unique_value'.,"doc = frappe.get_doc(""Item"", filters={""item_code"": ""latest_Open""})
print(doc)"
Fetch payroll entry where payroll_entry_name is 'sample_value'?,"doc = frappe.get_doc(""Payroll Entry"", filters={""payroll_entry_name"": ""sample_value""})
print(doc)"
"Hey, need sales order for total 'unique_value' this year?","doc = frappe.get_doc(""Sales Order"", filters={""total"": ""High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get job card where job_card_id 'test_value' from this year?,"doc = frappe.get_doc(""Job Card"", filters={""job_card_id"": ""5000"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the stock ledger entry record where voucher_no is 'sample_value' and created this year?,"doc = frappe.get_doc(""Stock Ledger Entry"", filters={""voucher_no"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull timesheet doc for total_hours 'sample_value'?,"doc = frappe.get_doc(""Timesheet"", filters={""total_hours"": ""sample_value""})
print(doc)"
salary slip doc net_pay 'latest_unique_value' this year?,"doc = frappe.get_doc(""Salary Slip"", filters={""net_pay"": ""latest_12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch prescription where patient is 'sample_value'?,"doc = frappe.get_doc(""Prescription"", filters={""patient"": ""sample_value""})
print(doc)"
Retrieve the course document where course_code is 'new_unique_value'?,"doc = frappe.get_doc(""Course"", filters={""course_code"": ""new_Retail""})
print(doc)"
"Hey, need quotation for terms_and_conditions 'test_value' this year?","doc = frappe.get_doc(""Quotation"", filters={""terms_and_conditions"": ""5000"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the timesheet record where project is 'sample_value' and created this year?,"doc = frappe.get_doc(""Timesheet"", filters={""project"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
quotation doc items 'sample_value' this year?,"doc = frappe.get_doc(""Quotation"", filters={""items"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the software license record where expiry_date is 'test_value' and created this year?,"doc = frappe.get_doc(""Software License"", filters={""expiry_date"": ""Electronics"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull bom doc for is_active 'test_value'?,"doc = frappe.get_doc(""BOM"", filters={""is_active"": ""Active""})
print(doc)"
job applicant doc for email 'sample_value'?,"doc = frappe.get_doc(""Job Applicant"", filters={""email"": ""sample_value""})
print(doc)"
Fetch payroll entry where total_employees is 'unique_value'?,"doc = frappe.get_doc(""Payroll Entry"", filters={""total_employees"": ""Open""})
print(doc)"
shipment doc for origin 'sample_value'?,"doc = frappe.get_doc(""Shipment"", filters={""origin"": ""sample_value""})
print(doc)"
Can u pull timesheet doc for total_hours 'latest_unique_value'?,"doc = frappe.get_doc(""Timesheet"", filters={""total_hours"": ""latest_Retail""})
print(doc)"
expense claim doc employee 'test_value' this year?,"doc = frappe.get_doc(""Expense Claim"", filters={""employee"": ""Electronics"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch event where date is 'new_unique_value'?,"doc = frappe.get_doc(""Event"", filters={""date"": ""new_Open""})
print(doc)"
Can you fetch the warehouse record where parent_warehouse is 'test_value' and created this year?,"doc = frappe.get_doc(""Warehouse"", filters={""parent_warehouse"": ""Premium"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the service level agreement document where agreement_name is 'unique_value'.,"doc = frappe.get_doc(""Service Level Agreement"", filters={""agreement_name"": ""12345""})
print(doc)"
Get bom where quantity 'sample_value' from this year?,"doc = frappe.get_doc(""BOM"", filters={""quantity"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get salary slip where employee 'sample_value' from this year?,"doc = frappe.get_doc(""Salary Slip"", filters={""employee"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch support ticket where priority is 'sample_value'?,"doc = frappe.get_doc(""Support Ticket"", filters={""priority"": ""sample_value""})
print(doc)"
Can you fetch the prescription record where medicines is 'test_value' and created this year?,"doc = frappe.get_doc(""Prescription"", filters={""medicines"": ""Premium"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need shipment for destination 'new_unique_value' this year?","doc = frappe.get_doc(""Shipment"", filters={""destination"": ""new_North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch lead where lead_name is 'unique_value'?,"doc = frappe.get_doc(""Lead"", filters={""lead_name"": ""12345""})
print(doc)"
employee doc designation 'sample_value' this year?,"doc = frappe.get_doc(""Employee"", filters={""designation"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
sales order doc for order_id 'test_value'?,"doc = frappe.get_doc(""Sales Order"", filters={""order_id"": ""Electronics""})
print(doc)"
Fetch software license where product is 'sample_value'?,"doc = frappe.get_doc(""Software License"", filters={""product"": ""sample_value""})
print(doc)"
serial no doc 'DOC-9999'?,"doc = frappe.get_doc(""Serial No"", ""DOC-9999"", {""membership_type"": ""Premium"", ""subscription_status"": ""Active""})
print(doc, {""membership_type"": ""Premium"", ""subscription_status"": ""Active""})"
"Hey, need instructor for qualification 'unique_value' this year?","doc = frappe.get_doc(""Instructor"", filters={""qualification"": ""Open"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
permit application doc for approval_date 'unique_value'?,"doc = frappe.get_doc(""Permit Application"", filters={""approval_date"": ""Open""})
print(doc)"
Get vital signs where blood_pressure 'test_value' from this year?,"doc = frappe.get_doc(""Vital Signs"", filters={""blood_pressure"": ""Active"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get sales invoice where total_amount 'unique_value' from this year?,"doc = frappe.get_doc(""Sales Invoice"", filters={""total_amount"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get support ticket where subject 'unique_value' from this year?,"doc = frappe.get_doc(""Support Ticket"", filters={""subject"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
vital signs doc for respiration_rate 'test_value'?,"doc = frappe.get_doc(""Vital Signs"", filters={""respiration_rate"": ""Electronics""})
print(doc)"
Get campaign where end_date 'sample_value' from this year?,"doc = frappe.get_doc(""Campaign"", filters={""end_date"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch campaign where campaign_name is 'sample_value'?,"doc = frappe.get_doc(""Campaign"", filters={""campaign_name"": ""sample_value""})
print(doc)"
patient doc patient_name 'test_value' this year?,"doc = frappe.get_doc(""Patient"", filters={""patient_name"": ""Approved"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the quotation record where terms_and_conditions is 'unique_value' and created this year?,"doc = frappe.get_doc(""Quotation"", filters={""terms_and_conditions"": ""Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need software license for license_key 'unique_value' this year?","doc = frappe.get_doc(""Software License"", filters={""license_key"": ""12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Fetch vital signs where patient is 'unique_value'?,"doc = frappe.get_doc(""Vital Signs"", filters={""patient"": ""High""})
print(doc)"
Can u pull job opening doc for status 'unique_value'?,"doc = frappe.get_doc(""Job Opening"", filters={""status"": ""North""})
print(doc)"
Fetch sales order where order_date is 'sample_value'?,"doc = frappe.get_doc(""Sales Order"", filters={""order_date"": ""sample_value""})
print(doc)"
Can you fetch the permit application record where permit_type is 'sample_value' and created this year?,"doc = frappe.get_doc(""Permit Application"", filters={""permit_type"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull e-commerce order doc for items 'sample_value'?,"doc = frappe.get_doc(""E-commerce Order"", filters={""items"": ""sample_value""})
print(doc)"
project doc for budget 'sample_value'?,"doc = frappe.get_doc(""Project"", filters={""budget"": ""sample_value""})
print(doc)"
leave application doc leave_balance 'unique_value' this year?,"doc = frappe.get_doc(""Leave Application"", filters={""leave_balance"": ""12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get chart of accounts where parent_account 'unique_value' from this year?,"doc = frappe.get_doc(""Chart of Accounts"", filters={""parent_account"": ""North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the expense claim record where employee is 'unique_value' and created this year?,"doc = frappe.get_doc(""Expense Claim"", filters={""employee"": ""High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get milestone where status 'sample_value' from this year?,"doc = frappe.get_doc(""Milestone"", filters={""status"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
task doc due_date 'sample_value' this year?,"doc = frappe.get_doc(""Task"", filters={""due_date"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, can you grab warehouse doc 'DOC-9999'?","doc = frappe.get_doc(""Warehouse"", ""DOC-9999"", {""status"": ""Open"", ""priority"": ""High""})
print(doc, {""status"": ""Open"", ""priority"": ""High""})"
"Hey, need sales order for total 'final_unique_value' this year?","doc = frappe.get_doc(""Sales Order"", filters={""total"": ""final_North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
quotation doc valid_till 'latest_unique_value' this year?,"doc = frappe.get_doc(""Quotation"", filters={""valid_till"": ""latest_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need payment entry for amount 'unique_value' this year?","doc = frappe.get_doc(""Payment Entry"", filters={""amount"": ""High"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
