Corrected Customer Question,Corrected Frappe Query,Query Length,Category,Conversational Question
Find all Employee records placed between 2023-06-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""status"", ""between"", [""2023-06-01"", ""2024-12-31""})",88,Medium,Find all Employee records placed between 2023-06-01 and 2024-12-31 (both inclusive).
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve a list of all Timesheet records where creation is Approved, fetching subject and status, sorted by status in descending order.","frappe.get_list(""Timesheet"", filters={""creation"": ""Approved""}, fields=[""subject"", ""status""], order_by=""status desc"")",116,Medium,"Can you fetch a list of all Timesheet records where creation is Approved, fetching subject and status, sorted by status in descending order."
Get a list of all Customer records without filters.,"frappe.get_list(""Customer"")",27,Simple,Can you list all Customer records without filters.
"Retrieve a list of all Leave Application records where creation is Open, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Leave Application"", filters={""creation"": ""Open""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",131,Complex,"Can you fetch a list of all Leave Application records where creation is Open, fetching date_submitted and creation, sorted by creation in descending order."
"Retrieve a list of all Task records where date_submitted is Open, fetching date_submitted and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Task"", filters={""date_submitted"": ""Open""}, fields=[""date_submitted"", ""date_submitted""], order_by=""date_submitted desc"")",136,Complex,"Can you fetch a list of all Task records where date_submitted is Open, fetching date_submitted and date_submitted, sorted by date_submitted in descending order."
"Retrieve the first 20 Employee records where status is Manager, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""status"": ""Manager""}, fields=[""count"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",152,Complex,"Can you fetch the first 20 Employee records where status is Manager, sorted by subject in descending order, starting from the 10th record."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve a list of all Task records where status is Pending, fetching status and subject, sorted by subject in descending order.","frappe.get_list(""Task"", filters={""status"": ""Pending""}, fields=[""status"", ""subject""], order_by=""subject desc"")",109,Medium,"Can you fetch a list of all Task records where status is Pending, fetching status and subject, sorted by subject in descending order."
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
"Retrieve the first 20 Stock Entry records where count is Director, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""count"": ""Director""}, fields=[""designation"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",159,Complex,"Can you fetch the first 20 Stock Entry records where count is Director, sorted by status in descending order, starting from the 10th record."
Find all Purchase Order records placed between 2023-06-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""status"", ""between"", [""2023-06-01"", ""2024-12-31""})",94,Medium,Find all Purchase Order records placed between 2023-06-01 and 2024-12-31 (both inclusive).
Count the number of Sales Order records grouped by their priority.,"frappe.get_list(""Sales Order"", fields=[""count(""""""name"""""") as count"", ""priority""], group_by=""priority"")",102,Medium,Count the number of Sales Order records grouped by their priority.
"Retrieve a list of all Expense Claim records where date_submitted is Pending, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Expense Claim"", filters={""date_submitted"": ""Pending""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",136,Complex,"Can you fetch a list of all Expense Claim records where date_submitted is Pending, fetching date_submitted and creation, sorted by creation in descending order."
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Find all Stock Entry records placed between 2022-04-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""status"", ""between"", [""2022-04-01"", ""2023-03-31""})",91,Medium,Find all Stock Entry records placed between 2022-04-01 and 2023-03-31 (both inclusive).
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Find all Sales Order records placed between 2022-04-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Sales Order"", filters={[""transaction_date"", ""between"", [""2022-04-01"", ""2023-12-31""})",101,Medium,Find all Sales Order records placed between 2022-04-01 and 2023-12-31 (both inclusive).
"Retrieve the first 20 Purchase Order records where status is Lead, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""status"": ""Lead""}, fields=[""designation"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",179,Complex,"Can you fetch the first 20 Purchase Order records where status is Lead, sorted by transaction_date in descending order, starting from the 10th record."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
"Retrieve the first 20 Sales Order records where transaction_date is Supervisor, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""transaction_date"": ""Supervisor""}, fields=[""priority"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",167,Complex,"Can you fetch the first 20 Sales Order records where transaction_date is Supervisor, sorted by count in descending order, starting from the 10th record."
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve a list of all Leave Application records where subject is Approved, fetching creation and creation, sorted by creation in descending order.","frappe.get_list(""Leave Application"", filters={""subject"": ""Approved""}, fields=[""creation"", ""creation""], order_by=""creation desc"")",128,Complex,"Can you fetch a list of all Leave Application records where subject is Approved, fetching creation and creation, sorted by creation in descending order."
Find all Purchase Order records placed between 2023-01-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""designation"", ""between"", [""2023-01-01"", ""2024-06-30""})",99,Medium,Find all Purchase Order records placed between 2023-01-01 and 2024-06-30 (both inclusive).
Count the number of Stock Entry records grouped by their designation.,"frappe.get_list(""Stock Entry"", fields=[""count(""""""name"""""") as count"", ""designation""], group_by=""designation"")",108,Medium,Count the number of Stock Entry records grouped by their designation.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve the first 20 Task records where status is Lead, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""status"": ""Lead""}, fields=[""status"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",142,Complex,"Can you fetch the first 20 Task records where status is Lead, sorted by count in descending order, starting from the 10th record."
Find all Employee records where priority contains Lead.,"frappe.get_list(""Employee"", filters={""priority"": [""like"", ""%Lead%""]})",69,Medium,Find all Employee records where priority contains Lead.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get only the email of all Sales Invoice records.,"frappe.get_list(""Sales Invoice"", pluck=""email"")",47,Simple,Get only the email of all Sales Invoice records.
"Retrieve a list of all Leave Application records where status is Pending, fetching status and status, sorted by status in descending order.","frappe.get_list(""Leave Application"", filters={""status"": ""Pending""}, fields=[""status"", ""status""], order_by=""status desc"")",120,Medium,"Can you fetch a list of all Leave Application records where status is Pending, fetching status and status, sorted by status in descending order."
"Retrieve the first 20 Sales Order records where status is Supervisor, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""status"": ""Supervisor""}, fields=[""count"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",160,Complex,"Can you fetch the first 20 Sales Order records where status is Supervisor, sorted by priority in descending order, starting from the 10th record."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Find all Employee records placed between 2022-04-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""subject"", ""between"", [""2022-04-01"", ""2023-03-31""})",89,Medium,Find all Employee records placed between 2022-04-01 and 2023-03-31 (both inclusive).
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
"Retrieve a list of all Task records where creation is Open, fetching status and creation, sorted by creation in descending order.","frappe.get_list(""Task"", filters={""creation"": ""Open""}, fields=[""status"", ""creation""], order_by=""creation desc"")",110,Medium,"Can you fetch a list of all Task records where creation is Open, fetching status and creation, sorted by creation in descending order."
"Retrieve the first 20 Sales Order records where count is Manager, sorted by designation in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""count"": ""Manager""}, fields=[""status"", ""designation""], order_by=""designation desc"", start=10, page_length=20, as_list=True)",163,Complex,"Can you fetch the first 20 Sales Order records where count is Manager, sorted by designation in descending order, starting from the 10th record."
"Retrieve a list of all Issue records where date_submitted is Open, fetching status and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Issue"", filters={""date_submitted"": ""Open""}, fields=[""status"", ""date_submitted""], order_by=""date_submitted desc"")",129,Complex,"Can you fetch a list of all Issue records where date_submitted is Open, fetching status and date_submitted, sorted by date_submitted in descending order."
"Retrieve a list of all Timesheet records where date_submitted is Pending, fetching creation and creation, sorted by creation in descending order.","frappe.get_list(""Timesheet"", filters={""date_submitted"": ""Pending""}, fields=[""creation"", ""creation""], order_by=""creation desc"")",126,Complex,"Can you fetch a list of all Timesheet records where date_submitted is Pending, fetching creation and creation, sorted by creation in descending order."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
"Retrieve a list of all Expense Claim records where status is Open, fetching creation and creation, sorted by creation in descending order.","frappe.get_list(""Expense Claim"", filters={""status"": ""Open""}, fields=[""creation"", ""creation""], order_by=""creation desc"")",119,Medium,"Can you fetch a list of all Expense Claim records where status is Open, fetching creation and creation, sorted by creation in descending order."
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve a list of all Leave Application records where creation is Approved, fetching creation and creation, sorted by creation in descending order.","frappe.get_list(""Leave Application"", filters={""creation"": ""Approved""}, fields=[""creation"", ""creation""], order_by=""creation desc"")",129,Complex,"Can you fetch a list of all Leave Application records where creation is Approved, fetching creation and creation, sorted by creation in descending order."
"Retrieve the first 20 Purchase Order records where status is Lead, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""status"": ""Lead""}, fields=[""designation"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",163,Complex,"Can you fetch the first 20 Purchase Order records where status is Lead, sorted by priority in descending order, starting from the 10th record."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
"Retrieve the first 20 Purchase Order records where status is Supervisor, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""status"": ""Supervisor""}, fields=[""subject"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",181,Complex,"Can you fetch the first 20 Purchase Order records where status is Supervisor, sorted by transaction_date in descending order, starting from the 10th record."
Find all Stock Entry records placed between 2024-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""designation"", ""between"", [""2024-01-01"", ""2023-03-31""})",96,Medium,Find all Stock Entry records placed between 2024-01-01 and 2023-03-31 (both inclusive).
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
"Retrieve a list of all Expense Claim records where subject is Pending, fetching creation and status, sorted by status in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Pending""}, fields=[""creation"", ""status""], order_by=""status desc"")",119,Medium,"Can you fetch a list of all Expense Claim records where subject is Pending, fetching creation and status, sorted by status in descending order."
"Retrieve a list of all Expense Claim records where subject is Open, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Open""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",126,Complex,"Can you fetch a list of all Expense Claim records where subject is Open, fetching date_submitted and creation, sorted by creation in descending order."
"Retrieve the first 20 Employee records where transaction_date is Manager, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""transaction_date"": ""Manager""}, fields=[""count"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",164,Complex,"Can you fetch the first 20 Employee records where transaction_date is Manager, sorted by priority in descending order, starting from the 10th record."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
"Retrieve a list of all Expense Claim records where subject is Approved, fetching subject and creation, sorted by creation in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Approved""}, fields=[""subject"", ""creation""], order_by=""creation desc"")",123,Complex,"Can you fetch a list of all Expense Claim records where subject is Approved, fetching subject and creation, sorted by creation in descending order."
"Retrieve the first 20 Sales Order records where subject is Lead, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""subject"": ""Lead""}, fields=[""priority"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",174,Complex,"Can you fetch the first 20 Sales Order records where subject is Lead, sorted by transaction_date in descending order, starting from the 10th record."
"Retrieve a list of all Expense Claim records where subject is Approved, fetching creation and status, sorted by status in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Approved""}, fields=[""creation"", ""status""], order_by=""status desc"")",120,Medium,"Can you fetch a list of all Expense Claim records where subject is Approved, fetching creation and status, sorted by status in descending order."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Task records where priority is Director, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""priority"": ""Director""}, fields=[""subject"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",149,Complex,"Can you fetch the first 20 Task records where priority is Director, sorted by count in descending order, starting from the 10th record."
"Retrieve a list of all Issue records where creation is Open, fetching status and status, sorted by status in descending order.","frappe.get_list(""Issue"", filters={""creation"": ""Open""}, fields=[""status"", ""status""], order_by=""status desc"")",107,Medium,"Can you fetch a list of all Issue records where creation is Open, fetching status and status, sorted by status in descending order."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve the first 20 Stock Entry records where priority is Director, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""priority"": ""Director""}, fields=[""priority"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",179,Complex,"Can you fetch the first 20 Stock Entry records where priority is Director, sorted by transaction_date in descending order, starting from the 10th record."
"Retrieve the first 20 Purchase Order records where count is Manager, sorted by designation in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""count"": ""Manager""}, fields=[""priority"", ""designation""], order_by=""designation desc"", start=10, page_length=20, as_list=True)",168,Complex,"Can you fetch the first 20 Purchase Order records where count is Manager, sorted by designation in descending order, starting from the 10th record."
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
"Retrieve the first 20 Purchase Order records where designation is Director, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""designation"": ""Director""}, fields=[""subject"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",168,Complex,"Can you fetch the first 20 Purchase Order records where designation is Director, sorted by priority in descending order, starting from the 10th record."
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Find all Stock Entry records placed between 2023-06-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""count"", ""between"", [""2023-06-01"", ""2023-03-31""})",90,Medium,Find all Stock Entry records placed between 2023-06-01 and 2023-03-31 (both inclusive).
Find all Stock Entry records placed between 2022-04-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""subject"", ""between"", [""2022-04-01"", ""2023-03-31""})",92,Medium,Find all Stock Entry records placed between 2022-04-01 and 2023-03-31 (both inclusive).
"Retrieve a list of all Expense Claim records where subject is Pending, fetching subject and creation, sorted by creation in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Pending""}, fields=[""subject"", ""creation""], order_by=""creation desc"")",122,Complex,"Can you fetch a list of all Expense Claim records where subject is Pending, fetching subject and creation, sorted by creation in descending order."
"Retrieve a list of all Task records where creation is Pending, fetching creation and subject, sorted by subject in descending order.","frappe.get_list(""Task"", filters={""creation"": ""Pending""}, fields=[""creation"", ""subject""], order_by=""subject desc"")",113,Medium,"Can you fetch a list of all Task records where creation is Pending, fetching creation and subject, sorted by subject in descending order."
"Retrieve the first 20 Stock Entry records where transaction_date is Supervisor, sorted by designation in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""transaction_date"": ""Supervisor""}, fields=[""count"", ""designation""], order_by=""designation desc"", start=10, page_length=20, as_list=True)",176,Complex,"Can you fetch the first 20 Stock Entry records where transaction_date is Supervisor, sorted by designation in descending order, starting from the 10th record."
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get a list of all Service Level Agreement records.,"frappe.get_list(""Service Level Agreement"", fields=[""name""])",59,Simple,Can you list all Service Level Agreement records.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Find all Sales Order records placed between 2023-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Sales Order"", filters={[""priority"", ""between"", [""2023-01-01"", ""2023-03-31""})",93,Medium,Find all Sales Order records placed between 2023-01-01 and 2023-03-31 (both inclusive).
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve a list of all Issue records where subject is Pending, fetching creation and status, sorted by status in descending order.","frappe.get_list(""Issue"", filters={""subject"": ""Pending""}, fields=[""creation"", ""status""], order_by=""status desc"")",111,Medium,"Can you fetch a list of all Issue records where subject is Pending, fetching creation and status, sorted by status in descending order."
Get a list of all Loyalty Program records.,"frappe.get_list(""Loyalty Program"", fields=[""name""])",51,Simple,Can you list all Loyalty Program records.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve the first 20 Employee records where priority is Director, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""priority"": ""Director""}, fields=[""designation"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",157,Complex,"Can you fetch the first 20 Employee records where priority is Director, sorted by count in descending order, starting from the 10th record."
"Retrieve a list of all Issue records where subject is Pending, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Issue"", filters={""subject"": ""Pending""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",121,Complex,"Can you fetch a list of all Issue records where subject is Pending, fetching date_submitted and creation, sorted by creation in descending order."
"Retrieve the first 20 Sales Order records where count is Supervisor, sorted by designation in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""count"": ""Supervisor""}, fields=[""subject"", ""designation""], order_by=""designation desc"", start=10, page_length=20, as_list=True)",167,Complex,"Can you fetch the first 20 Sales Order records where count is Supervisor, sorted by designation in descending order, starting from the 10th record."
Get a list of all Customer Escalation records.,"frappe.get_list(""Customer Escalation"", fields=[""name""])",55,Simple,Can you list all Customer Escalation records.
Get a list of all HR Policy records.,"frappe.get_list(""HR Policy"", fields=[""name""])",45,Simple,Can you list all HR Policy records.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Find all Task records placed between 2023-06-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Task"", filters={[""priority"", ""between"", [""2023-06-01"", ""2023-03-31""})",86,Medium,Find all Task records placed between 2023-06-01 and 2023-03-31 (both inclusive).
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve the first 20 Stock Entry records where priority is Manager, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""priority"": ""Manager""}, fields=[""subject"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",161,Complex,"Can you fetch the first 20 Stock Entry records where priority is Manager, sorted by priority in descending order, starting from the 10th record."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
"Retrieve a list of all Timesheet records where subject is Open, fetching creation and status, sorted by status in descending order.","frappe.get_list(""Timesheet"", filters={""subject"": ""Open""}, fields=[""creation"", ""status""], order_by=""status desc"")",112,Medium,"Can you fetch a list of all Timesheet records where subject is Open, fetching creation and status, sorted by status in descending order."
Find all Employee records placed between 2024-01-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Employee"", filters={[""transaction_date"", ""between"", [""2024-01-01"", ""2024-06-30""})",98,Medium,Find all Employee records placed between 2024-01-01 and 2024-06-30 (both inclusive).
Find all Stock Entry records placed between 2024-01-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""subject"", ""between"", [""2024-01-01"", ""2024-12-31""})",92,Medium,Find all Stock Entry records placed between 2024-01-01 and 2024-12-31 (both inclusive).
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
